time,founder,unselected,contact_FDC,FDC_selected,contact_TC,TC_Selected_by_TC,recycled,apoptosis,affinity,std_affinity,CC_IDs,CB,CC,Pr,Apoptotic
90.000000,790.000000,65.000000,0.000000,0.000000,0.000000,1.000000,6.000000,795.000000,7.516890184933101E-05,0.001436562751622297,Prueba,796,66,Pr,795
91.000000,799.000000,62.000000,0.000000,0.000000,0.000000,1.000000,6.000000,779.000000,7.534657728483653E-05,0.001440903172915061,Prueba,805,63,Pr,779
92.000000,823.000000,48.000000,0.000000,0.000000,0.000000,0.000000,7.000000,759.000000,7.43114536588988E-05,0.001443901425887551,Prueba,830,48,Pr,759
93.000000,824.000000,72.000000,0.000000,0.000000,0.000000,0.000000,8.000000,736.000000,9.181568054905454E-05,0.001617950704249874,Prueba,832,72,Pr,736
94.000000,825.000000,71.000000,0.000000,0.000000,0.000000,0.000000,8.000000,757.000000,8.94177406526634E-05,0.001606923788814022,Prueba,833,71,Pr,757
95.000000,828.000000,70.000000,0.000000,0.000000,0.000000,0.000000,8.000000,758.000000,8.921907469003812E-05,0.001605491220339219,Prueba,836,70,Pr,758
96.000000,833.000000,80.000000,0.000000,0.000000,0.000000,0.000000,8.000000,775.000000,8.772964130226044E-05,0.001590319432302311,Prueba,841,80,Pr,775
97.000000,835.000000,82.000000,0.000000,0.000000,0.000000,0.000000,8.000000,777.000000,9.066062779259546E-05,0.001590134091160335,Prueba,843,82,Pr,777
98.000000,836.000000,65.000000,0.000000,0.000000,0.000000,0.000000,8.000000,790.000000,8.838120012059927E-05,0.001590018253520057,Prueba,844,65,Pr,790
99.000000,832.000000,67.000000,0.000000,0.000000,0.000000,0.000000,8.000000,804.000000,8.765609389195075E-05,0.001584442844564356,Prueba,840,67,Pr,804
100.000000,848.000000,85.000000,0.000000,0.000000,0.000000,0.000000,8.000000,801.000000,8.59690855982766E-05,0.001570302004866983,Prueba,856,85,Pr,801
101.000000,856.000000,70.000000,0.000000,0.000000,0.000000,0.000000,8.000000,827.000000,8.635003763548055E-05,0.001563145095154022,Prueba,864,70,Pr,827
102.000000,864.000000,66.000000,0.000000,0.000000,0.000000,0.000000,8.000000,817.000000,8.680936762867837E-05,0.001565813146170626,Prueba,872,66,Pr,817
103.000000,876.000000,57.000000,0.000000,0.000000,0.000000,0.000000,8.000000,824.000000,8.86942504380295E-05,0.001563502874539932,Prueba,884,57,Pr,824
104.000000,888.000000,71.000000,0.000000,0.000000,0.000000,0.000000,8.000000,812.000000,8.851821778835062E-05,0.001557452949728629,Prueba,896,71,Pr,812
105.000000,888.000000,67.000000,0.000000,0.000000,0.000000,0.000000,8.000000,806.000000,8.710357324108708E-05,0.001560497600771594,Prueba,896,67,Pr,806
106.000000,874.000000,92.000000,0.000000,0.000000,0.000000,0.000000,8.000000,823.000000,8.710983738463248E-05,0.001548826751148142,Prueba,882,92,Pr,823
107.000000,871.000000,83.000000,0.000000,0.000000,0.000000,0.000000,8.000000,870.000000,8.526316132786021E-05,0.001533971348644096,Prueba,879,83,Pr,870
108.000000,828.000000,88.000000,0.000000,0.000000,0.000000,0.000000,8.000000,903.000000,8.581722801085123E-05,0.001536091387500181,Prueba,836,88,Pr,903
109.000000,812.000000,95.000000,0.000000,0.000000,0.000000,0.000000,8.000000,920.000000,5.91600298303891E-05,0.001058119070028809,Prueba,820,95,Pr,920
110.000000,789.000000,94.000000,0.000000,0.000000,0.000000,0.000000,8.000000,948.000000,5.992784196326158E-05,0.001057643089231106,Prueba,797,94,Pr,948
111.000000,766.000000,100.000000,0.000000,1.000000,0.000000,0.000000,8.000000,1001.000000,5.995672756740721E-05,0.001048514475162068,Prueba,774,101,Pr,1001
112.000000,751.000000,77.000000,0.000000,0.000000,0.000000,1.000000,8.000000,1021.000000,5.969836197794905E-05,0.001051752485200387,Prueba,759,78,Pr,1021
113.000000,728.000000,88.000000,0.000000,0.000000,0.000000,1.000000,8.000000,1012.000000,6.160271465859245E-05,0.001058729190825879,Prueba,736,89,Pr,1012
114.000000,716.000000,81.000000,0.000000,0.000000,0.000000,1.000000,8.000000,1042.000000,6.260338481248862E-05,0.001056500860933708,Prueba,724,82,Pr,1042
115.000000,694.000000,64.000000,0.000000,0.000000,0.000000,1.000000,8.000000,1030.000000,6.488535221661607E-05,0.001071743140889282,Prueba,702,65,Pr,1030
116.000000,682.000000,78.000000,0.000000,0.000000,0.000000,1.000000,8.000000,978.000000,6.634025640043247E-05,0.001086905780812088,Prueba,690,79,Pr,978
117.000000,662.000000,76.000000,0.000000,0.000000,0.000000,1.000000,8.000000,988.000000,6.483549557934657E-05,0.001089066373265184,Prueba,670,77,Pr,988
118.000000,639.000000,84.000000,0.000000,0.000000,0.000000,1.000000,8.000000,980.000000,6.295278514031489E-05,0.001092723432798053,Prueba,647,85,Pr,980
119.000000,618.000000,65.000000,0.000000,0.000000,0.000000,0.000000,9.000000,988.000000,6.364039091998758E-05,0.001103015275879556,Prueba,627,65,Pr,988
120.000000,595.000000,83.000000,0.000000,0.000000,0.000000,0.000000,10.000000,974.000000,6.539648488915194E-05,0.001109652540486299,Prueba,605,83,Pr,974
121.000000,568.000000,67.000000,0.000000,0.000000,0.000000,0.000000,10.000000,975.000000,6.73337465489857E-05,0.00112390116978947,Prueba,578,67,Pr,975
122.000000,536.000000,78.000000,0.000000,0.000000,0.000000,0.000000,10.000000,947.000000,7.074956087428299E-05,0.001141886586687507,Prueba,546,78,Pr,947
123.000000,512.000000,65.000000,0.000000,0.000000,0.000000,0.000000,10.000000,953.000000,7.090249492739385E-05,0.001153086172571159,Prueba,522,65,Pr,953
124.000000,477.000000,85.000000,0.000000,0.000000,0.000000,0.000000,10.000000,939.000000,7.216387028977186E-05,0.001164077332330646,Prueba,487,85,Pr,939
125.000000,440.000000,73.000000,0.000000,0.000000,0.000000,0.000000,10.000000,959.000000,7.134269559681833E-05,0.001174115784620751,Prueba,450,73,Pr,959
126.000000,415.000000,64.000000,0.000000,0.000000,0.000000,0.000000,10.000000,957.000000,7.298338975838163E-05,0.001188593922957466,Prueba,425,64,Pr,957
127.000000,386.000000,69.000000,0.000000,0.000000,0.000000,0.000000,8.000000,944.000000,7.42400046134941E-05,0.001204087013454897,Prueba,394,69,Pr,944
128.000000,363.000000,47.000000,0.000000,0.000000,0.000000,0.000000,8.000000,943.000000,7.55071314629477E-05,0.00122345245626171,Prueba,371,47,Pr,943
